uid_part,uid
0,7244
1,421743
2,233067
3,591646
4,306388
5,560079
6,241266
7,83401
8,7270
9,430823
10,163411
11,245512
12,215620
13,59116
14,81244
15,222345
16,243074
17,283794
18,270112
19,126613
20,216329
21,509927
22,58977
23,340407
24,589920
25,59002
26,180257
27,505076
28,148732
29,340145
30,59139
31,295795
32,528131
33,25221
34,200827
35,536351
36,106668
37,59024
38,551219
39,243068
40,154628
41,407975
42,306386
43,59081
44,235610
45,521147
46,233085
47,360557
48,194256
49,254733
50,454328
51,68651
52,243077
53,74683
54,395443
55,74747
56,508157
57,58991
58,7256
59,106772
60,264098
61,233065
62,106737
63,129997
64,106711
65,514815
66,123903
67,306594
68,121891
69,305988
70,48178
71,106744
72,249610
73,126509
74,300823
75,330507
76,129979
77,163373
78,81253
79,59086
80,563046
81,81243
82,163929
83,74673
84,428692
85,106621
86,241284
87,7252
88,59153
89,320233
90,529373
91,129984
92,222439
93,460378
94,58285
95,294228
96,126483
97,254724
98,237484
99,476539
100,206765
101,106761
102,370660
103,106738
104,32418
105,194254
106,81309
107,197821
108,194252
109,383302
110,270134
111,59021
112,209118
113,507175
114,562774
115,262658
116,305951
117,68649
118,194250
119,126493
120,104263
121,241276
122,241282
123,389943
124,68648
125,106663
126,562775
127,106731
128,360551
129,81287
130,305949
131,304346
132,85712
133,245495
134,163368
135,121934
136,68643
137,59023
138,330520
139,241273
140,23419
141,505172
142,237494
143,243076
144,106635
145,244011
146,243070
147,466362
148,74712
149,240049
150,59141
151,194271
152,241281
153,240051
154,106674
155,7254
156,107936
157,360213
158,207719
159,336949
160,81265
161,461875
162,360553
163,121867
164,7250
165,200812
166,129971
167,81296
168,17052
169,163406
170,151012
171,128285
172,283799
173,106631
174,233080
175,241280
176,240050
177,194261
178,126597
179,334053
180,526264
181,405778
182,241239
183,74680
184,312413
185,406003
186,464401
187,139248
188,243038
189,122198
190,81246
191,42317
192,511487
193,59019
194,235997
195,59059
196,7260
197,122210
198,468214
199,81281
200,233074
201,408303
202,59110
203,81289
204,184179
