trend,ntweets,nretweets,nmentions,k,L,clustering,betweenness,entropy,diam_rt,v_rt,diam_ment,v_ment,r,burst
teamautofollow,6.723039215686274,0.4852941176470588,0.6752450980392157,2.3037974683544302,4.827425038277546,0.0022364224272832627,0.007788789514605801,0.27770317142738765,3,4,2,11,-0.27453829871647967,0
first20songsonshuffle,8.075757575757576,0.26515151515151514,0.17803030303030304,2.3867819297267148,9.191956030914175,0.0011899667313864043,0.004057070695205036,0.06264790844816699,2,9,2,3,-0.29498627019985263,1
ohwell,9.469362745098039,0.7745098039215687,0.38848039215686275,2.0962800875273517,3.8247679835662662,0.0017339156100723136,0.006975927234922246,0.4055527383363189,2,5,2,4,-0.17003900448114856,0
10thingsihate,13.258333333333333,2.263888888888889,0.2902777777777778,2.4721030042918457,7.5351109603996465,0.00205813520531968,0.008575449408348729,0.10870826899013376,4,42,2,4,-0.2341597028651865,1
autofollowback,5.376225490196078,0.28308823529411764,0.5061274509803921,2.2,5.469153653364179,0.0015142052984443528,0.010760525581343513,0.28393135640682793,2,3,3,6,-0.23614521442950334,0
wewontworkoutif,186.97916666666666,35.75,5.1875,2.096842105,10.24675052,0.0024155559487791666,0.0015429503489187502,0.2783499247125,3,21,3,6,-0.19904862892168523,1
fml,12.988970588235293,0.6446078431372549,0.5784313725490197,2.223776223776224,4.003965285051623,0.0010211041224795904,0.003840966340248314,0.42255176419550744,2,3,2,6,-0.2124160385427823,0
bizitalk,7.636029411764706,2.346813725490196,1.0269607843137254,6.359447004608295,3.267933981727085,0.20560494317852682,0.009987432420494335,1.1882005103839828,7,6,5,9,-0.22223014062196197,0
thatisall,5.329656862745098,0.6666666666666666,0.7242647058823529,2.4923076923076923,5.7176654101130895,0.0017314904721060882,0.007983342177691427,0.26402960762344896,2,4,2,10,-0.2605407795741859,0
teamheat,7.553921568627451,1.275735294117647,0.625,2.109295096761256,9.490789215405133,0.0005871966174440675,0.013083455510489344,0.17408951047567306,3,4,2,5,-0.2741179603714047,1
ididnttextyouback,25.958333333333332,5.358333333333333,0.475,2.0142959256611865,6.625988901269702,0.0004542962941958742,0.014732405147449005,0.15426780004104904,4,55,3,5,-0.19377667914663838,1
followme,10.238970588235293,0.42034313725490197,1.6911764705882353,2.1794195250659634,6.045764127833707,0.0012673838181567398,0.003914429883568582,0.3025385828595369,2,4,3,16,-0.28853129716970083,0
tweetyourheight,12.016666666666667,1.238888888888889,1.1555555555555554,2.3815278377211917,9.447746605671126,0.0012246560700507844,0.005690233343281748,0.09339666068553759,5,15,2,5,-0.25797173963635156,1
lolatgirlswho,14.291666666666666,3.475,0.41041666666666665,2.018364928909953,6.661430138581054,0.00020487626728511003,0.009238716425121493,0.08505176400768244,6,48,3,4,-0.19369652368577572,1
ijs,7.96078431372549,1.0294117647058822,0.9252450980392157,2.2448979591836733,6.396746386674444,0.0017357418699763753,0.006166551767235975,0.2768213665918393,2,4,2,5,-0.23325855724795447,0
mythoughtsduringschool,22.76923076923077,4.955128205128205,0.5737179487179487,2.4197530864197527,7.973841920010345,0.0009787749256111404,0.009433423984574816,0.10047010123307272,11,14,3,4,-0.23156772332376113,1
thatirritatesme,17.099358974358974,3.5368589743589745,0.4791666666666667,2.064516129032258,5.159666614615865,0.00021474998622565718,0.01138227065139264,0.10393817503530656,6,46,3,5,-0.20843046823778455,1
gop,6.9411764705882355,0.9607843137254902,0.3480392156862745,3.2634146341463413,6.099739554675177,0.03921492571270195,0.01000838152762371,0.6614913230501106,4,3,2,8,-0.145291687344569,0
thuglife,9.370098039215685,1.508578431372549,1.7843137254901962,2.24287856071964,4.7800272412085185,0.0023028527725932725,0.004333846776550669,0.27899158081657044,3,23,4,6,-0.18949369695122545,0
imhappywhen,88.65625,16.270833333333332,3.1979166666666665,2.02577158890159,9.38403921533506,0.0010840340216764174,0.0069977226856945615,0.25376509032006467,4,13,2,4,-0.21648914325018703,1
lmao,6.116421568627451,0.6176470588235294,0.6911764705882353,2.133037694013304,3.7823099230866224,0.001388669273338113,0.00913035658760987,0.3342418719452525,2,4,2,5,-0.27223191900081295,0
mentionto,6.4963235294117645,0.4950980392156863,2.0061274509803924,2.4556962025316458,4.238190286094477,0.005889068931338592,0.021058000067415494,0.40736081135931057,2,3,3,10,-0.21610825444342016,0
thingsthatguyslike,11.819444444444445,2.2944444444444443,0.37222222222222223,2.0037383177570094,8.373018133095705,0.00012490848181985337,0.009414402544218724,0.10332457692929502,4,29,3,3,-0.23766555850241017,1
itstimeforyoutorealize,9.41025641025641,1.857371794871795,0.21794871794871795,2.267716535433071,8.486279275234274,0.00029343390697298565,0.008317200818912983,0.07850163914190411,5,15,2,3,-0.2327566701110353,1
top100lies,48.21666666666667,9.1,1.2138888888888888,2.577006507592191,7.274640688388232,0.0012601246389624353,0.013527148530878396,0.14251410853315696,6,93,3,7,-0.1752342836117075,1
win,6.4129901960784315,0.3014705882352941,0.41911764705882354,2.6842105263157894,4.8241545893719815,0.0012084102083676222,0.01679752475456326,0.43246377225153165,2,19,3,4,-0.2594275466607203,0
mybiggestfearis,14.133333333333333,2.588888888888889,0.39444444444444443,2.05607476635514,9.859309124638314,0.00028069864062972664,0.008007279446368493,0.10491118620608493,4,12,2,3,-0.18791699361151298,1
kindle,6.540441176470588,1.8161764705882353,0.3639705882352941,5.4900221729490015,4.031869786839667,0.12016123797756238,0.008320331226509638,1.2056352896128577,4,4,2,3,-0.005698556821041683,0
bored,5.438725490196078,0.41544117647058826,0.17524509803921567,2.175,5.412026981368859,0.0009351182701025804,0.012493087837351688,0.32639897123755335,2,4,2,3,-0.16432144473925517,0
fuckit,5.761029411764706,0.508578431372549,0.4497549019607843,2.149584487534626,3.2099160335865653,0.0010614834219371632,0.006328585359230736,0.31526076531090974,2,3,2,5,-0.1999927012393806,0
yougetmajorpointsif,66.24679487179488,13.666666666666666,1.9679487179487178,2.1020443222813947,7.264436784889352,0.0012168292505898624,0.013125643701615348,0.17811363700856392,8,83,3,5,-0.18518206438443552,1
bbl,6.0870098039215685,0.10416666666666667,0.0625,2.201754385964912,5.72417182031737,0.0004683604076806949,0.008592441899917867,0.2599510295609617,1,1,2,6,-0.17762607950889692,0
icantstandwhen,28.662280701754387,7.074561403508772,0.8135964912280702,3.0537931034482764,8.087344614241342,0.002074200411610577,0.010464457520501702,0.12581940082399673,12,59,3,12,-0.22413815115148217,1
ifweweretogetherrightnow,47.145833333333336,9.71875,1.0625,2.0467587672688627,7.516285146801858,0.0012710446573333766,0.005621553692544989,0.17350639542976046,3,47,2,5,-0.23522782988041263,1
nomanshouldever,35.458333333333336,7.805555555555555,0.7291666666666666,2.275,6.43609980885751,0.00261053856656197,0.008166218799257925,0.1827245237944464,3,27,2,2,-0.23168532191792984,1
foreveralone,8.089460784313726,1.2622549019607843,0.9509803921568627,2.3292682926829267,4.322656802028346,0.0025052618550871777,0.008677900554638516,0.37882231709215985,2,10,2,6,-0.24606198162563336,0
thingsigottateachmyson,25.485119047619047,4.205357142857143,0.6458333333333334,2.2119205298013247,8.166065173541995,0.00033877169794730756,0.0071845590073379125,0.10134791873563945,3,9,3,4,-0.2219378042711028,1
youvedoneittoo,33.34166666666667,9.358333333333333,0.5833333333333334,2.09375,6.307493377496708,0.0021143715032834946,0.010538514480924075,0.1504452418384615,6,30,2,3,-0.2600821722369353,1
lowkey,5.9068627450980395,0.7990196078431373,0.6740196078431373,2.2666666666666666,5.751904169188429,0.002560757656905013,0.008907175959482733,0.27832410802350926,2,4,2,4,-0.2547992355279175,0
tragic,5.269607843137255,0.5183823529411765,0.7953431372549019,2.2291666666666665,4.459598473535756,0.0018041961365009255,0.006926158365964545,0.259989729567488,2,4,2,5,-0.26943857241401953,0
nationalbestfriendday,41.69345238095238,7.690476190476191,10.011904761904763,2.4545454545454546,8.430254414732763,0.0033671159883806516,0.008823549738317556,0.17577551297242128,4,49,4,7,-0.267967069102169,1
itsfunnyhow,6.299731182795699,1.385752688172043,0.16801075268817203,2.2022471910112356,10.176776925554067,0.00021499314644907026,0.007902241573967126,0.0736730567780546,4,49,3,4,-0.21187305146320384,1
awkward,5.512254901960785,0.4852941176470588,0.5330882352941176,2.333333333333333,4.639423427057248,0.0011265665345940037,0.012580174738542135,0.392066913744255,2,11,2,4,-0.23627785977157928,0
pbbteens4,7.403985507246377,1.4891304347826086,1.6105072463768115,2.571428571428572,6.461630389262843,0.003601113933243986,0.0233020678761223,0.30651641727055806,6,23,5,25,-0.2018868851650712,1
thehairoscope,5.192401960784314,4.709558823529412,0.34681372549019607,2.48936170212766,5.881927120797049,0.0018745630544622822,0.009980615914946941,0.2110347058895577,3,117,4,12,-0.19458304277839944,1
throwback,7.254901960784314,0.6311274509803921,0.6139705882352942,2.0970873786407767,4.728297734432704,0.0013022182972544504,0.008694709670650193,0.30284688617692984,2,3,2,5,-0.23789953103559275,0
real,6.248774509803922,1.178921568627451,0.991421568627451,2.7747543461829176,4.8466787370664575,0.0019826041800802548,0.0064345400204399,0.2685819060351432,2,23,2,17,-0.23385651166553317,0
moviesthatnevergetold,24.06547619047619,4.545634920634921,0.40674603174603174,2.2686567164179103,8.561961189158751,0.0006780077477759702,0.007855493317832288,0.09246352933818638,4,11,3,4,-0.22053524988381049,1
somf,5.452205882352941,0.8811274509803921,0.2647058823529412,2.25531914893617,4.719262215677917,0.0017824404498676105,0.00628297050779268,0.2306805011846791,2,3,2,4,-0.23223294693713634,0
twitterafterdark,6.9681372549019605,1.1262254901960784,0.8394607843137255,2.2962962962962963,7.525215894868586,0.0030465107921667997,0.015588104254568982,0.2717200697619024,3,10,3,9,-0.2458994776405771,1
waystomakemehappy,34.16203703703704,5.7592592592592595,0.875,2.010869565217391,8.78459500818594,0.0001352587324813237,0.011587723033581769,0.17365437758532085,4,15,3,4,-0.22180709095636753,1
youknowwhatannoysme,29.61111111111111,4.412037037037037,0.8194444444444444,2.408921933085502,8.50432781476904,0.003531210999895193,0.006465298250400784,0.19319469164382447,4,10,3,10,-0.23230554193658823,1
fail,9.813725490196079,0.8468137254901961,1.3075980392156863,2.311688311688312,4.308847242627298,0.0011734083829645645,0.006009486378898153,0.31830360485768466,2,12,2,5,-0.24293290890079816,0
10peopleontwitteriwanttomeet,23.371794871794872,4.092948717948718,8.176282051282051,2.2333333333333334,7.875732261627139,0.001589327481363352,0.010089291456793248,0.11248160717278524,2,13,19,47,-0.2601728780402283,1
arentyoutiredof,15.083333333333334,3.7115384615384617,0.3141025641025641,2.4962406015037595,7.689039340604566,0.0011724626046032331,0.0091492555539769,0.11730020654831236,4,38,2,4,-0.24375114821469313,1
team,5.245098039215686,0.9325980392156863,0.6752450980392157,2.3423423423423424,5.213489904444232,0.0032996741744986575,0.008884581663205434,0.26985026109608423,2,6,3,8,-0.2746626455366751,0
respect,6.822303921568627,0.9497549019607843,1.3676470588235294,2.129032258064516,4.74767620806402,0.0011018787337096381,0.008314739888933475,0.27510456124190785,3,6,2,6,-0.2807771123759337,0
thingspeopledothatgetonmynerves,28.800925925925927,5.611111111111111,0.5370370370370371,2.0612648221343868,8.766339924675936,0.0002991575095086734,0.008170490824701816,0.11692915171725593,4,53,3,4,-0.19571156417236546,1
weed,5.074754901960785,2.1838235294117645,0.3480392156862745,2.416107382550336,6.341109786955157,0.0021779595142632073,0.01624811952670563,0.3069858622674834,3,46,3,7,-0.3116224585281662,0
egypt,10.692401960784315,1.0943627450980393,0.4068627450980392,2.8584686774942,5.6455905205905195,0.01424204355864037,0.01180877015725798,0.6755812592839913,5,11,5,5,-0.10879248938850619,0
scorpios,8.53799019607843,0.22916666666666666,0.09313725490196079,2.533333333333333,13.926180374499314,0.0010088802023792375,0.016144546757233497,0.23784424198271378,2,4,2,7,-0.2539562428285186,1
truestory,5.814950980392157,0.6348039215686274,0.7120098039215687,2.2193548387096773,3.7511202625516735,0.0015174415076954792,0.008707397725575316,0.3356514406375102,2,9,2,4,-0.2553962417692695,0
twitterpeopleilove,26.136904761904763,5.342261904761905,9.306547619047619,2.345381526104417,9.469039873835962,0.0006744239392686531,0.003577194138752086,0.09076924416755275,7,10,18,12,-0.1971520547626577,1
butyouathug,6.70679012345679,1.248456790123457,0.19598765432098766,2.318840579710145,8.412404783153272,0.0006838227637764892,0.005738082095507606,0.06133050260608418,7,21,3,3,-0.2567468927109854,1
1dfacts,7.546568627450981,2.196078431372549,0.4375,2.2632508833922262,5.507952191235059,0.002668436622168428,0.013323700244755909,0.4213493195528738,4,14,2,7,-0.24513291287201322,0
randomtweet,5.791666666666667,0.75,0.6004901960784313,2.275728155339806,4.289641463237254,0.0015524443692739188,0.008515381947812074,0.28466784144008783,3,5,3,4,-0.2580377335906856,0
itscrazyhow,14.605555555555556,2.852777777777778,0.36666666666666664,2.2105263157894743,8.711124183998786,0.0005019430968527026,0.0038056986082904694,0.05429136669866675,4,23,2,3,-0.22959164563890855,1
ifollowback,6.465686274509804,0.29901960784313725,0.6985294117647058,2.191011235955056,5.694446265818636,0.0009220017400254158,0.007229208901826984,0.278595516318083,2,2,2,8,-0.30706636554062744,0
iwonderif,6.271604938271605,1.1558641975308641,0.17592592592592593,2.2580645161290325,5.50133562246405,0.00017035352226922427,0.008467498702052581,0.0734240520833526,3,9,4,6,-0.25794766020590776,1
thingsilovetosee,11.375,1.9837962962962963,0.38425925925925924,2.0689655172413794,5.5816387366663855,0.0003558348028639973,0.011180646546381368,0.09705022904569466,2,17,2,3,-0.21134386472465405,1
music,6.296568627450981,0.741421568627451,1.3247549019607843,2.7183232772308665,5.436420277541774,0.0028151514571503945,0.009276122696563312,0.3162144777876968,2,53,3,7,-0.29407877794076315,0
iknowthisonegirl,14.17156862745098,2.678921568627451,0.8112745098039216,2.3185011709601877,5.643343755268441,0.0011034319420954145,0.008857815318159039,0.09881582471700705,4,41,3,4,-0.19661756503529776,1
fourwordsyoudontwanttohear,19.502777777777776,3.6333333333333333,0.4666666666666667,2.3728813559322037,8.594081440553715,0.0005178304887496432,0.008569237403107437,0.10696294808902655,2,18,2,4,-0.23340289518873858,1
girlfacts,5.828431372549019,5.025735294117647,0.4068627450980392,2.2404692082111435,4.8963709347095925,0.0006639047401082386,0.010563464490146479,0.32824260082101375,2,64,3,7,-0.19519073505190798,0
photo,5.7818627450980395,0.2647058823529412,0.08455882352941177,3.636363636363636,4.690134803921568,0.15092749509247286,0.015656665427372828,1.1214896994538124,3,2,2,3,-0.39711138054701234,0
wheniwaslittle,37.00122549019608,7.694852941176471,1.5477941176470589,2.4029850746268657,13.999617518033215,0.0011779985288809718,0.009746625738888525,0.12104945288700414,12,77,3,24,-0.1880301191554457,1
favtvshow,14.319444444444445,2.5034722222222223,0.2951388888888889,3.309859154929577,5.348309824300916,0.0387801020527003,0.009768358930747538,0.5626007617749936,5,8,2,3,-0.3221310821693518,1
amen,5.1286764705882355,0.7879901960784313,0.8002450980392157,2.090909090909091,5.027986721075359,0.000697922508710606,0.008435854790335063,0.2608488035124615,2,9,2,7,-0.2734736105239478,0
f1,10.801470588235293,2.4607843137254903,0.42769607843137253,4.015247776365946,6.0915389513596425,0.025183503869919886,0.018415617704890072,0.7177662291171195,7,8,3,7,-0.25350760539375894,1
iwantsomebody,8.1875,1.7485119047619047,0.1949404761904762,2.0799180327868854,9.005769133614137,0.00038955300676775476,0.007038127897778712,0.06614528296977953,4,10,2,5,-0.23636070057052888,1
geminisignz,5.631127450980392,4.783088235294118,0.6053921568627451,2.4242424242424243,8.55676588877542,0.0008646338936360789,0.016756154131867748,0.20508386980529686,3,95,3,16,-0.32363733922728943,1
damn,7.575980392156863,0.6911764705882353,0.5857843137254902,2.3269230769230766,3.9635719468988775,0.002855972629388513,0.007342427352033493,0.35492220815456604,2,9,2,5,-0.15565347833385393,0
stayawayfrommeif,14.349537037037036,2.3055555555555554,0.30092592592592593,2.0969162995594712,7.815951735838546,0.00040599642011862315,0.008174736218322804,0.09094195801731705,2,8,3,4,-0.2400503294541283,1
teamnosleep,6.518382352941177,1.258578431372549,0.5196078431372549,2.32,7.007781145056925,0.0014572334165632785,0.015023169343344987,0.24575591056171697,3,6,2,6,-0.23175548586681843,0
showerflow,6.9338235294117645,0.18137254901960784,0.09313725490196079,2.1166666666666667,7.202028246196343,0.000646593959319001,0.0069125508843597945,0.2502220116581523,1,1,2,3,-0.26920694211451424,0
excited,5.040441176470588,0.34191176470588236,0.5330882352941176,2.3076923076923075,5.165529229976822,0.0014705723218799056,0.015169241199043042,0.3935118423457979,2,7,2,8,-0.21186994664354986,0
14feb,9.242647058823529,0.8382352941176471,0.28431372549019607,3.554716981132076,5.655043859649122,0.022202736182491876,0.025390873709917033,0.9487391277838356,3,8,2,5,-0.17218894178582986,0
whatgetsmemad,14.331349206349206,3.1984126984126986,0.375,2.4,9.347396672583514,0.0016715904121265522,0.006062826183766515,0.08654543370550365,7,48,3,5,-0.21353632210295376,1
wordsyouwillneverhearmesay,77.98611111111111,12.777777777777779,1.4027777777777777,2.23579877810997,8.588971416932582,0.0010290969072641817,0.0007593220556628227,0.14136433262729187,5,37,3,3,-0.2322853785990101,1
youknowwhatsannoying,19.613095238095237,4.962301587301587,0.46825396825396826,2.345679012345679,10.778986206384715,0.0007619819058059675,0.010670645858225972,0.13107188613522144,6,69,3,6,-0.2474339295694466,1
favmusic,11.900462962962964,0.8819444444444444,0.3194444444444444,5.038216560509555,5.22729754322111,0.04163673903240969,0.008674285195742145,0.6469543609730324,4,6,3,3,-0.2942170525716707,1
incollege,20.680555555555557,3.548611111111111,0.5381944444444444,2.1586638830897704,7.19091891776759,0.0002631192598575129,0.008768465853947437,0.08737101174054183,8,26,3,3,-0.27366055261754363,1
fuck,6.0379901960784315,0.5330882352941176,0.26715686274509803,2.10727969348659,4.174474887589642,0.001285247641020836,0.010451750076836092,0.3775353474838425,2,3,2,4,-0.19826945450791914,0
thatsthetruth,8.896739130434783,2.1050724637681157,0.27898550724637683,2.0853658536585367,8.36562551237908,0.0005647713416722981,0.01009848408566869,0.0985367981557342,3,69,2,11,-0.21070604687407962,1
swaggie,5.008578431372549,1.3002450980392157,1.5306372549019607,3.2680532834774483,5.926634970317199,0.0044333762828073974,0.01322478296903669,0.2992513783719701,2,100,4,49,-0.19413007628299334,1
4wordsyoudontwanttohear,16.82107843137255,3.6127450980392157,0.3480392156862745,2.149122807017544,7.584137005452635,0.0008931989624732161,0.008571139091040503,0.10266281926529192,3,22,2,4,-0.24046751357408477,1
stfu,5.330882352941177,0.5465686274509803,0.21691176470588236,2.147368421052632,3.585758865248227,0.0010289604687051387,0.011497314743516902,0.3732237984239056,2,3,2,3,-0.1816398284035401,0
boss,6.230392156862745,0.7781862745098039,1.150735294117647,2.123552123552124,4.2872820927841815,0.001351555579352909,0.005907075392120367,0.2697808287289208,3,6,2,7,-0.26088540626812856,0
turnup,7.5,1.0661764705882353,1.508578431372549,2.6205923836389284,5.862752360990652,0.004228354786984729,0.006029420406832999,0.26381939523712034,4,5,3,6,-0.27860795469367766,0
1000aday,6.252450980392157,0.3909313725490196,0.3958333333333333,2.1616580310880833,5.731876526759938,0.0011629799357225604,0.0080001589658709,0.29131780735680346,3,4,2,5,-0.22454054219259,0
rns,9.704656862745098,1.2463235294117647,1.3958333333333333,2.510204081632653,5.640344859553165,0.0029632462346345333,0.0047652053104027285,0.2932384864841191,2,4,2,5,-0.2136414410800073,0
